,Company,Address,Precise_add,Phone_no,Items
0,Hipster Enterprises,"Venkateshwara Nagar, Chennai","No. 1/2, 2nd Floor, 1st Main Road Venkateshwara Nagar, Chennai-  600089, Tamil Nadu",Call09962444338,"['Fresh Brussels Sprouts (Kalaikossu)', 'Fresh Ginger (Ingu)', 'Fresh Cauliflower (Poo Kossu)', 'Fresh Carrot (Manjal Kamalai)', 'Fresh Capsicum (kudamilagai)', 'Fresh Bitter Gourd (Pakkakai)', 'Fresh Celery (Sevarikeerai)', 'Fresh Leeks', 'Fresh Lady Finger (Vendakkai)', 'Fresh Cabbage (Goos)', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
1,Afrah Trading,"Old Washermanpet, Chennai","No.17/13, West Cemetery, Chennai-  600021, Tamil Nadu",Call09790984300,"['Cucumber Pahari Kheera', 'Vegatable Potato', 'Vegatable Potato', 'Vegatable Onion', 'Dum Arbi', 'Vegatable Onion', 'Onion Vegatable', 'Lauki Vegatable', 'Yellow Capsicum', 'Capsicum Chilli', '', '', '', '', '', '', '', '', '', '', '', '', '']"
2,Prime India Impex,"Manapakkam, Chennai","Manapakkam, Plot No. 116, 6th Cross, Phase I Marvel River View County, Chennai-  600125, Tamil Nadu",Call09566165316,"['Fresh Brinjal', 'Bitter Gourd', 'Fresh Tomato', 'Lady Finger', 'Fresh Spinach', 'Snake Gourd', 'Bottle Gourd', 'Ridge Gourd', 'Fresh Drumstick', 'Organic Pumpkin', '', '', '']"
3,Zia Exports,"Pattur, Chennai","10/17, Haji Ali Nagar,, Chennai-  600001, Tamil Nadu",Call09940046066,"['Vegetable', 'Vegetable', 'Vegetable', 'Vegetable', 'Vegetable', 'Vegetable', 'Vegetable', 'Vegetable', 'Vegetable', 'Vegetable', '', '']"
4,United Exports,"Virugambakkam, Chennai","20/5, Swarnambigai Nagar, Virugambakkam, Chennai-  600092, Tamil Nadu",Call09381739112,"['Lemongrass', 'Carrot', 'Cabbage', 'Capsicum', 'Coriander', 'Cucumber', 'Okra', 'Mint', 'Beans', 'Brinjal']"
5,Karthick Traders,Chennai,"No. 8/8, Bharathiyar Nagar, Senneerkuppam, Chennai-  600056, Tamil Nadu",Call09080841489,"['Fresh Potato', 'Fresh Onion', 'Green Peas', 'Fresh Vegetable', 'Fresh Vegetable', 'Fresh Brinjal', 'Fresh Carrots', 'Fresh Tomato', 'Fresh Radish']"
6,Goodwill Exports India,"West Mambalam, Chennai","New No:70/36, Mahadevan Street, West Mambalam,, Chennai-  600033, Tamil Nadu",Call04424893361,"['Brinjal', 'Leaf Vegetable', 'Drumstick Vegetable', 'Cucumber', 'Beetroot', 'Coriander Leaves', 'Curry Leaves', 'Onion', 'Snake Gourd']"
7,Hi Fi Trades,"Mannurpet, Chennai","No 707, MTH Road, Mannurpet, Chennai-  600050, Tamil Nadu",Call08056068919,"['Red Onion', 'Brinjal', 'Radish', 'Raddish', 'Ginger', 'Lady Finger', 'Beetroot', 'Green Chilli', 'Tomato']"
8,Iyappan Co,Chennai,"New No. 31, Old No. 12, Malleeswarar Koil Street 5, Rajendraprasad Street, Iyappanthangal, Chennai-  600004, Tamil Nadu",Call08042909627,"['Potato', 'Potato', 'Soyabean', 'Soyabean', 'Soyabean', 'Green Chilli', 'Lemon', 'Onion 40-60mm 90 Per kg Plus']"
9,M/s. Pee Pee Appliances Pvt Ltd,"Ayanavaram, Chennai","New No. 47, Old No. 22, Medavakkam Tank Road, Chennai-  600012, Tamil Nadu",Call08939888908,"['Bottle Gourd', 'Snake Gourd', 'Coriander', 'Cabbage', 'Bitter Gourd', 'Beans', 'Capsicum', 'Green Plantain']"
10,Suriya Greens,Chennai,"No - 66/47,  1ST Main road R A Puram, Chennai-  600044, Tamil Nadu",Call09500075303,"['Tomato', 'Cabbage', 'Green Bean', 'Carrot Cut Vegetable', 'Red Carrot', 'Brinjal', 'Onion', 'Lady Fingers']"
11,Grand Depatmental Store,"Saidapet, Chennai","14, VV Kovil Street, Saidapet, Chennai-  600015, Tamil Nadu",Call09094658946,"['Radish', 'Lady Finger', 'Cauliflower', 'Tomatoes', 'Beetroot', 'Brinjal', 'Onion', 'Red Carrot']"
12,VML Exports,Chennai,"Maduravoyal, 6th Block, Chennai-  600095, Tamil Nadu",Call08838507715,"['Sambar Onion', 'Fresh Ginger', 'Fresh Broccoli', 'Cauliflower', 'Carrot', 'Drumsticks', 'Bitter Gourd', 'Green Chilli']"
13,Mani Enterprises,"West Mambalam, Chennai","No.103, Postal Colony 4th Street, Lake View Road, West Mambalam, Chennai-  600033, Tamil Nadu",Call09840688831,"['Cabbage', 'Beetroot', 'Green Peas', 'Tomato', 'Cucumber', 'Hyacinth Beans', 'Radish']"
14,D D Exports,"Choolaimadu, Chennai","Choolaimadu, Chennai-  600094, Tamil Nadu",Call09884676111,"['Fresh Beans', 'Potato', 'Fresh Bean', 'Ladies Finger', 'Brinjal', 'Cabbage', 'Green Chilli']"
15,Sj Fruits And Vegetables,"Medavakkam Main Road, Chennai","2 / 877 ,Medavakkam Main Road , Kovilambakkam, Chennai-  600129, Tamil Nadu",Call09566021152,"['Capsicum', 'Brinjal', 'Beetroot', 'Lady Finger', 'Cucumber', 'Couliflower', 'Tomato']"
16,Dhana Rice Store,Chennai,"Kavanoor Main Road, Kattankolathur, Chennai-  603203, Tamil Nadu",Call09003205113,"['Green Capsicum', 'Fresh Carrot', 'Ladies Finger', 'White Raddish', 'Fresh Onion', 'Tomato', 'Fresh Onion']"
17,Devi Exports,"Arumbakkam, Chennai","46, Razak Garden Road, Arumbakkam, Chennai-  600106, Tamil Nadu",Call09790716886,"['Double Beans', 'Drumstick', 'Snake Gourd', 'Bitter Gourd', 'Bitter Gourd', 'Brinjal', 'Cabbage']"
18,Rakshana Exports & Imports,"Kovilambakkam Thiruvin Nagar, Chennai","No. 20, Thiruvin Nagar, Chinna Kovilambakkam, Chennai-  600117, Tamil Nadu",Call09790931960,"['Fresh Onion', 'Fresh Organic Vegetables', 'Red Tomatoes', 'Fresh Vegetables', 'Red Onion', 'Green Beans', 'Radish']"
19,Veg Village,Chennai,"OMR Road, Chennai-  600097, Tamil Nadu",Call09500074359,"['Surakkai', 'Noolkol', 'Cucumber (1 Kg)', 'Cauliflower', 'Avarai', 'Green Capsicum', 'Snake Gourd']"
20,Jack And Jill,"West Mambalam, Chennai","No 223, Arya Gowda Road, West Mambalam,, Chennai-  600033, Tamil Nadu",Call09514785434,"['Raw Onion', 'Rose Onion', 'Fresh Ginger', 'Small Onion', 'Red Onion', 'White Onion', 'Organic Onion']"
21,Eco Collections,"Villivakkam, Chennai","No. 9, Lakshmipuram 2nd Street, Chennai-  600049, Tamil Nadu",Call09789249232,"['Green Chilli', 'Ladies Finger', 'Tomato', 'Green Chilli', 'Ginger', '']"
